latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,vpd,tmmx_C,pr,wind_speed,wind_direction,
33.85417,-118.33073,296.34,0.41,0.37,1/1/2015,958,N,VIIRS,n,2,281.65,2.01,N,2,0.70722526,21.214294,1.7609891,2.31511,224.31044,
34.60651,-117.33595,301.71,0.5,0.49,1/1/2016,908,N,VIIRS,n,2,268.7,1.3,N,0,1.5857692,23.445892,0.5857143,4.446978,200.95055,0.5348901
33.82082,-118.24252,300.24,0.39,0.36,1/1/2017,944,N,VIIRS,n,2,284.17,1.1,N,2,0.7206044,21.610718,1.5906594,2.3010988,216.10165,7.842857
34.60802,-117.33579,298.52,0.61,0.54,1/1/2018,900,N,VIIRS,n,2,274.78,1.22,N,2,1.5857692,23.445892,0.5857143,4.446978,200.95055,
34.33495,-118.51796,297.14,0.56,0.69,1/1/2018,1040,N,VIIRS,n,2,281.2,0.44,N,2,1.004478,21.653564,2.6324177,3.3162088,194.5467,
34.60778,-117.33626,303.63,0.5,0.41,1/1/2019,957,N,VIIRS,n,2,272.05,1.47,N,0,1.5857692,23.445892,0.5857143,4.446978,200.95055,
34.01057,-117.38095,341.9,0.41,0.45,1/1/2019,2116,N,VIIRS,n,2,294.91,15.07,D,0,1.1404395,24.512634,1.7269231,3.0741758,208.9945,
33.81409,-118.23623,295.32,0.45,0.47,1/1/2020,912,N,VIIRS,n,2,283.64,1.68,N,2,0.7206044,21.610718,1.5906594,2.3010988,216.10165,
34.62255,-117.10155,315.79,0.44,0.38,1/1/2021,950,N,VIIRS,n,2,277.31,1.89,N,2,1.5857692,23.445892,0.5857143,4.446978,200.95055,
34.33589,-118.51749,328.95,0.46,0.39,1/1/2021,2109,N,VIIRS,n,2,290.75,2.96,D,2,1.004478,21.653564,2.6324177,3.3162088,194.5467,
33.81918,-118.24314,295.15,0.55,0.51,1/1/2022,907,N,VIIRS,n,2,283.24,1.68,N,2,0.7206044,21.610718,1.5906594,2.3010988,216.10165,
34.60563,-117.33247,298.7,0.77,0.77,1/1/2022,1047,N,VIIRS,n,2,271.49,2.52,N,0,1.5857692,23.445892,0.5857143,4.446978,200.95055,
33.79422,-117.47565,299.09,0.51,0.41,1/1/2024,919,N,VIIRS,n,2,276.65,0.83,N,0,1.2206044,23.18985,1.8494506,3.046978,198.5055,
34.07433,-118.54561,333.45,0.46,0.39,1/1/2025,957,N,VIIRS,n,2,295.42,29.17,N,0,0.67598903,20.135162,2.598077,2.6840658,195.84065,
33.85346,-118.33385,295.54,0.64,0.72,1/10/2015,848,N,VIIRS,n,2,282.4,2.04,N,2,0.70722526,21.214294,1.7609891,2.31511,224.31044,
34.62144,-117.10027,298.31,0.37,0.58,1/10/2015,1028,N,VIIRS,n,2,279.46,0.88,N,0,1.5857692,23.445892,0.5857143,4.446978,200.95055,
34.09186,-117.52778,303.83,0.36,0.57,1/10/2015,1029,N,VIIRS,n,2,275,0.7,N,2,1.1671429,24.417603,1.7824175,3.1854396,208.9945,
34.60631,-117.33486,310.12,0.59,0.53,1/10/2017,1015,N,VIIRS,n,2,277.06,2.3,N,0,1.5857692,23.445892,0.5857143,4.446978,200.95055,
34.15459,-118.19361,300.9,0.54,0.51,1/10/2017,1016,N,VIIRS,n,2,278.29,0.54,N,2,1.0561813,23.195343,2.454945,2.4376373,186.12637,
34.33484,-118.52134,314.98,0.43,0.38,1/10/2018,931,N,VIIRS,n,2,278.15,1.65,N,2,1.004478,21.653564,2.6324177,3.3162088,194.5467,
