system:index,th,vs,.geo
1_0,183.0055,3.2002747,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.6674490321888,34.297677547683335]}"
2_0,206.14285,2.3156593,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.0925272503523,33.86648621130596]}"
3_0,186.12637,2.4354396,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.23625769581143,34.04614926812987]}"
4_0,199.21153,3.7961538,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.66133591397494,34.22581232495377]}"
5_0,235.56868,2.4587913,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.02066202762273,33.61495793175249]}"
6_0,173.63187,3.4291208,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.48778597536489,34.40547538177768]}"
7_0,183.0055,3.187088,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.73931425491836,34.297677547683335]}"
8_0,186.89835,2.9131868,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.12845986171708,34.36954277041289]}"
9_0,183.0055,3.2002747,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.6674490321888,34.297677547683335]}"
10_0,193.48352,2.917033,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.95490992310704,34.26174493631855]}"
11_0,183.0055,3.2107143,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.63151642082401,34.26174493631855]}"
12_0,184.62912,2.3692307,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.05659463898752,34.04614926812987]}"
13_0,198.6978,3.2120879,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.62540330261015,33.61495793175249]}"
14_0,186.12637,2.3604395,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.12845986171708,34.01021665676509]}"
15_0,200.17857,3.8233516,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.55353807988058,34.26174493631855]}"
17_0,184.04945,3.092033,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.99084253447182,34.441407993142455]}"
18_0,191.87912,4.1228023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.98472941625796,34.441407993142455]}"
19_0,201.71979,2.412088,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.98472941625796,33.83055359994118]}"
20_0,203.68407,2.901099,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.76913374806928,33.686823154482056]}"
21_0,192.27747,4.9434066,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.87693158216362,34.58513843860158]}"
22_0,198.6978,3.0167582,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.7332011367045,33.50716009765815]}"
23_0,191.87912,4.3582416,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.94879680489318,34.441407993142455]}"
24_0,196.5467,3.6585164,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.88304470037748,34.76480149542548]}"
25_0,193.46153,2.8901098,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.34405552990577,34.18987971358899]}"
26_0,191.64835,2.8428571,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.6674490321888,34.11801449085943]}"
27_0,187.47253,2.5403845,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.0925272503523,34.22581232495377]}"
28_0,186.89835,2.6420329,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.12845986171708,34.33361015904811]}"
29_0,191.87912,4.51978,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.91286419352839,34.47734060450723]}"
30_0,200.32967,2.5505495,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.84099897079884,33.86648621130596]}"
31_0,195.84065,2.853846,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.59558380945923,34.11801449085943]}"
32_0,192.37363,2.303022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.34405552990577,33.90241882267074]}"
33_0,174.37363,3.1837912,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.12845986171708,34.40547538177768]}"
34_0,193.46153,2.9387362,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.34405552990577,34.22581232495377]}"
35_0,195.77197,4.5395603,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.66133591397494,34.441407993142455]}"
36_0,194.32143,4.956319,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.76913374806928,34.36954277041289]}"
38_0,192.04121,4.4870877,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.98472941625796,34.65700366133114]}"
39_0,190.4478,4.3673077,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.05659463898752,34.65700366133114]}"
